Mon Dec 10 19:43:57 2018    ./profile.stats

         1106127434 function calls (1105796362 primitive calls) in 389.830 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.008    0.008  389.831  389.831 ./main.py:12(<module>)
        1    0.000    0.000  389.636  389.636 ./main.py:595(main)
        1    0.000    0.000  381.520  381.520 ./main.py:575(train_mode)
        1    0.000    0.000  381.520  381.520 ./main.py:560(process_minibatch)
        1    0.003    0.003  381.520  381.520 ./main.py:501(train_algorhythm_10)
     2594    0.255    0.000  381.497    0.147 ./main.py:243(evaluate_minibatch)
     2592    0.015    0.000  381.191    0.147 ./main.py:471(ziggling_connection)
    25940    0.149    0.000  362.916    0.014 ./core.py:404(propagate)
   103760    4.824    0.000  362.615    0.003 ./core.py:273(propagate)
 21426440  107.171    0.000  357.784    0.000 ./core.py:168(propagate)
336182400   73.646    0.000  247.720    0.000 ./core.py:100(propagate)
336182400  142.558    0.000  174.074    0.000 ./core.py:91(calc_product)
336747888   31.567    0.000   31.567    0.000 ./core.py:156(getY)
    25940    0.113    0.000   10.534    0.000 ./util.py:94(loadData)
    25940    4.927    0.000    7.154    0.000 ./core.py:379(setInputData)
        2    0.000    0.000    5.946    2.973 ./main.py:84(get_key_input)
        2    5.946    2.973    5.946    2.973 {input}
    25940    3.454    0.000    4.725    0.000 ./util.py:80(img2List)
    25940    0.177    0.000    3.688    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2517(open)
 20336960    2.164    0.000    2.164    0.000 ./core.py:153(setX)
    25940    0.178    0.000    2.040    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:2561(_open_core)
    25940    0.093    0.000    2.009    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:841(convert)
  1938627    1.935    0.000    1.935    0.000 {range}
    25940    0.164    0.000    1.754    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:78(__init__)
    51880    0.428    0.000    1.717    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:130(load)
    25940    0.240    0.000    1.491    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:543(_open)
 21241668    1.135    0.000    1.135    0.000 {method 'append' of 'list' objects}
        2    0.000    0.000    1.111    0.555 ./util.py:103(pickle_save)
        2    0.012    0.006    1.110    0.555 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1369(dump)
        2    0.000    0.000    1.098    0.549 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:220(dump)
 264010/2    0.294    0.000    1.098    0.549 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:269(save)
  12661/3    0.014    0.000    1.097    0.366 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:591(save_list)
  12661/3    0.039    0.000    1.097    0.366 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:608(_batch_appends)
    25944    1.083    0.000    1.083    0.000 {open}
22266811/22266747    1.075    0.000    1.075    0.000 {len}
        2    0.000    0.000    1.059    0.529 ./util.py:109(pickle_load)
        2    0.005    0.003    1.059    0.529 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1377(load)
        2    0.191    0.096    1.053    0.527 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:845(load)
  13791/1    0.043    0.000    0.720    0.720 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:690(save_inst)
  13791/1    0.016    0.000    0.720    0.720 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:640(save_dict)
  13791/1    0.044    0.000    0.720    0.720 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:655(_batch_setitems)
    51880    0.147    0.000    0.703    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:135(call)
        1    0.000    0.000    0.655    0.655 ./main.py:41(setup_dnn)
    25940    0.430    0.000    0.430    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.404    0.404 ./main.py:66(setup_batch)
    25940    0.248    0.000    0.402    0.000 ./core.py:415(getInferences)
   772852    0.396    0.000    0.396    0.000 {method 'read' of 'file' objects}
    51880    0.109    0.000    0.302    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:103(read)
    25940    0.040    0.000    0.241    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:1048(copy)
    25940    0.112    0.000    0.217    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:334(chunk_IHDR)
   564820    0.215    0.000    0.215    0.000 {method 'write' of 'file' objects}
    95261    0.113    0.000    0.206    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:227(memoize)
    25940    0.194    0.000    0.194    0.000 {method 'close' of 'file' objects}
    55018    0.039    0.000    0.189    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:480(save_string)
    55018    0.096    0.000    0.176    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:961(load_string)
    25940    0.048    0.000    0.172    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:603(load_prepare)
    77820    0.169    0.000    0.169    0.000 {method 'seek' of 'file' objects}
   181580    0.095    0.000    0.167    0.000 ./core.py:336(getLayerAt)
    25940    0.044    0.000    0.154    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:141(crc)
        1    0.003    0.003    0.152    0.152 ./core.py:4(<module>)
    25940    0.082    0.000    0.144    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:420(_getdecoder)
   106898    0.141    0.000    0.142    0.000 {method 'decode' of 'str' objects}
    25940    0.104    0.000    0.137    0.000 ./util.py:60(mean_absolute_error)
   830080    0.135    0.000    0.135    0.000 ./core.py:51(relu)
    51880    0.037    0.000    0.126    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1143(debug)
   129700    0.076    0.000    0.122    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/_binary.py:75(i32be)
    25940    0.042    0.000    0.120    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/ImageFile.py:254(load_prepare)
        1    0.004    0.004    0.118    0.118 /System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/numpy/__init__.py:106(<module>)
    25940    0.075    0.000    0.117    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:541(_new)
   103760    0.084    0.000    0.106    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:796(load)
    51880    0.100    0.000    0.100    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/Image.py:521(__init__)
   124074    0.056    0.000    0.095    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1150(load_get)
   233460    0.076    0.000    0.095    0.000 ./core.py:328(countLayers)
   346610    0.094    0.000    0.094    0.000 {method 'readline' of 'file' objects}
    25940    0.060    0.000    0.093    0.000 ./main.py:230(make_train_label)
    51880    0.046    0.000    0.089    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/logging/__init__.py:1358(isEnabledFor)
    51880    0.037    0.000    0.089    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/_util.py:7(isPath)
    52000    0.088    0.000    0.088    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
    51880    0.039    0.000    0.087    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:89(_crc32)
    25940    0.044    0.000    0.080    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:611(load_read)
    13791    0.017    0.000    0.080    0.000 /System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/pickle.py:1066(load_inst)
    25940    0.060    0.000    0.079    0.000 /Users/lesser/Library/Python/2.7/lib/python/site-packages/PIL/PngImagePlugin.py:286(__init__)
    25940    0.078    0.000    0.078    0.000 {PIL._imaging.new}
